"Country","State","City","Station name","Timestamp(UTC)","PM2.5","US AQI","Main pollutant"
"USA","Pennsylvania","Avalon","Avalon","2021-08-10T00:00:00.000Z",8.79,36,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-08-11T00:00:00.000Z",10.29,43,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-08-12T00:00:00.000Z",11.08,46,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-08-13T00:00:00.000Z",8.74,36,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-08-14T00:00:00.000Z",8.17,34,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-08-15T00:00:00.000Z",8.21,34,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-08-16T00:00:00.000Z",9.54,39,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-08-17T00:00:00.000Z",5.33,22,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-08-18T00:00:00.000Z",4.57,19,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-08-19T00:00:00.000Z",7.42,31,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-08-20T00:00:00.000Z",10.08,42,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-08-21T00:00:00.000Z",15.21,58,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-08-22T00:00:00.000Z",17.21,62,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-08-23T00:00:00.000Z",15.5,58,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-08-24T00:00:00.000Z",15.67,58,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-08-25T00:00:00.000Z",15.35,58,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-08-26T00:00:00.000Z",12.17,51,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-08-27T00:00:00.000Z",13.5,54,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-08-28T00:00:00.000Z",14.7,56,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-08-29T00:00:00.000Z",13.3,54,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-08-30T00:00:00.000Z",9.29,38,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-08-31T00:00:00.000Z",9.71,40,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-01T00:00:00.000Z",4.75,20,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-02T00:00:00.000Z",6.58,27,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-03T00:00:00.000Z",6.29,26,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-04T00:00:00.000Z",9.04,37,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-05T00:00:00.000Z",9.71,40,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-06T00:00:00.000Z",8.71,36,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-07T00:00:00.000Z",10.96,45,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-08T00:00:00.000Z",10.26,42,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-09T00:00:00.000Z",9.79,40,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-10T00:00:00.000Z",5.96,25,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-11T00:00:00.000Z",11.83,49,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-12T00:00:00.000Z",10.04,41,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-13T00:00:00.000Z",15.26,58,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-14T00:00:00.000Z",17,61,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-15T00:00:00.000Z",11.92,49,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-16T00:00:00.000Z",8.25,34,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-17T00:00:00.000Z",8.54,35,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-18T00:00:00.000Z",14.45,56,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-19T00:00:00.000Z",12.75,52,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-20T00:00:00.000Z",9.43,39,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-21T00:00:00.000Z",9.5,39,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-22T00:00:00.000Z",4.83,20,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-23T00:00:00.000Z",3.08,13,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-24T00:00:00.000Z",5,21,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-25T00:00:00.000Z",9.13,38,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-26T00:00:00.000Z",8.67,36,"PM2.5"
"USA","Pennsylvania","Avalon","Avalon","2021-09-27T00:00:00.000Z",7.38,30,"PM2.5"
