"Country","State","City","Station name","Timestamp(UTC)","PM2.5","PM10","US AQI","Main pollutant"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-08-10T00:00:00.000Z",,17.79,16,"PM10"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-08-11T00:00:00.000Z",,17.5,16,"PM10"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-08-12T00:00:00.000Z",,19.92,18,"PM10"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-08-13T00:00:00.000Z",,12,11,"PM10"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-08-14T00:00:00.000Z",,11.43,10,"PM10"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-08-15T00:00:00.000Z",,7.29,7,"PM10"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-08-16T00:00:00.000Z",,12.17,11,"PM10"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-08-17T00:00:00.000Z",8.91,13.73,37,"PM2.5"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-08-18T00:00:00.000Z",5.81,7.67,24,"PM2.5"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-08-19T00:00:00.000Z",6.56,10.08,27,"PM2.5"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-08-20T00:00:00.000Z",9,14.95,37,"PM2.5"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-08-21T00:00:00.000Z",9.46,30.91,39,"PM2.5"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-08-22T00:00:00.000Z",16.64,30.04,61,"PM2.5"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-08-23T00:00:00.000Z",13.47,25.09,54,"PM2.5"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-08-24T00:00:00.000Z",11.63,23.83,48,"PM2.5"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-08-25T00:00:00.000Z",22.14,45.54,72,"PM2.5"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-08-26T00:00:00.000Z",10.13,18.52,42,"PM2.5"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-08-27T00:00:00.000Z",11.81,21.29,49,"PM2.5"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-08-28T00:00:00.000Z",15.86,31.73,59,"PM2.5"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-08-29T00:00:00.000Z",15,29.9,57,"PM2.5"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-08-30T00:00:00.000Z",8.93,14.92,37,"PM2.5"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-08-31T00:00:00.000Z",10.08,15.13,42,"PM2.5"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-09-01T00:00:00.000Z",4.92,5.17,20,"PM2.5"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-09-02T00:00:00.000Z",3.91,10.08,16,"PM2.5"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-09-03T00:00:00.000Z",6,8.83,25,"PM2.5"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-09-04T00:00:00.000Z",8.6,11.92,36,"PM2.5"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-09-05T00:00:00.000Z",9.77,14.43,40,"PM2.5"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-09-06T00:00:00.000Z",6.63,9.79,27,"PM2.5"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-09-07T00:00:00.000Z",14.63,25.13,56,"PM2.5"
"USA","Pennsylvania","Glassport","Glassport High Street","2021-09-08T00:00:00.000Z",9.44,15.96,39,"PM2.5"
