"Country","State","City","Station name","Timestamp(UTC)","PM2.5","PM10","Ozone","CO","SO2","US AQI","Main pollutant"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2015-12-19T00:00:00.000Z",6.81,,49.43,,,28,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2015-12-20T00:00:00.000Z",8,,24.75,,,33,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2015-12-21T00:00:00.000Z",9,,31.33,,,37,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2015-12-22T00:00:00.000Z",4.61,,46.25,,,19,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2015-12-23T00:00:00.000Z",10.21,,7.33,,,42,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2015-12-24T00:00:00.000Z",4.08,,40.17,,,17,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2015-12-25T00:00:00.000Z",11.52,,1.04,,,48,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2015-12-26T00:00:00.000Z",5.63,,40,,,23,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2015-12-27T00:00:00.000Z",4.46,,26.17,,,18,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2015-12-28T00:00:00.000Z",4.79,,42.67,,,20,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2015-12-29T00:00:00.000Z",5.09,,32.61,,,21,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2015-12-30T00:00:00.000Z",8.09,,20,,,33,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2015-12-31T00:00:00.000Z",9.79,,37.75,,,40,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-01-01T00:00:00.000Z",5.83,,62.33,,,25,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-01-02T00:00:00.000Z",9.29,,49.75,,,38,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-01-03T00:00:00.000Z",8.92,,45.92,,,37,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-01-04T00:00:00.000Z",5.09,,58.73,,,23,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-01-05T00:00:00.000Z",10.5,,33,,,43,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-01-06T00:00:00.000Z",23.8,,4.8,,,76,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-01-07T00:00:00.000Z",20,,-0.29,,,68,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-01-09T00:00:00.000Z",15.19,,10.29,,,57,"PM2.5"
