"Country","State","City","Station name","Timestamp(UTC)","PM2.5","PM10","SO2","US AQI","Main pollutant"
"USA","Pennsylvania","McKeesport","Liberty (SAHS)","2015-12-19T00:00:00.000Z",5.62,,,23,"PM2.5"
"USA","Pennsylvania","McKeesport","Liberty (SAHS)","2015-12-20T00:00:00.000Z",10.5,,,43,"PM2.5"
"USA","Pennsylvania","McKeesport","Liberty (SAHS)","2015-12-21T00:00:00.000Z",26.54,,,81,"PM2.5"
"USA","Pennsylvania","McKeesport","Liberty (SAHS)","2015-12-22T00:00:00.000Z",9.88,,,41,"PM2.5"
"USA","Pennsylvania","McKeesport","Liberty (SAHS)","2015-12-23T00:00:00.000Z",7.73,,,32,"PM2.5"
"USA","Pennsylvania","McKeesport","Liberty (SAHS)","2015-12-24T00:00:00.000Z",7.17,,,30,"PM2.5"
"USA","Pennsylvania","McKeesport","Liberty (SAHS)","2015-12-25T00:00:00.000Z",43.27,,,120,"PM2.5"
"USA","Pennsylvania","McKeesport","Liberty (SAHS)","2015-12-26T00:00:00.000Z",5.71,,,24,"PM2.5"
"USA","Pennsylvania","McKeesport","Liberty (SAHS)","2015-12-27T00:00:00.000Z",10.21,,,42,"PM2.5"
"USA","Pennsylvania","McKeesport","Liberty (SAHS)","2015-12-28T00:00:00.000Z",3.67,,,15,"PM2.5"
"USA","Pennsylvania","McKeesport","Liberty (SAHS)","2015-12-29T00:00:00.000Z",5,,,21,"PM2.5"
"USA","Pennsylvania","McKeesport","Liberty (SAHS)","2015-12-30T00:00:00.000Z",7.39,,,31,"PM2.5"
"USA","Pennsylvania","McKeesport","Liberty (SAHS)","2015-12-31T00:00:00.000Z",9.13,,,38,"PM2.5"
"USA","Pennsylvania","McKeesport","Liberty (SAHS)","2016-01-01T00:00:00.000Z",5.96,,,25,"PM2.5"
"USA","Pennsylvania","McKeesport","Liberty (SAHS)","2016-01-02T00:00:00.000Z",7.67,,,32,"PM2.5"
"USA","Pennsylvania","McKeesport","Liberty (SAHS)","2016-01-03T00:00:00.000Z",10.83,,,45,"PM2.5"
"USA","Pennsylvania","McKeesport","Liberty (SAHS)","2016-01-04T00:00:00.000Z",5.26,,,22,"PM2.5"
"USA","Pennsylvania","McKeesport","Liberty (SAHS)","2016-01-05T00:00:00.000Z",7.78,,,32,"PM2.5"
"USA","Pennsylvania","McKeesport","Liberty (SAHS)","2016-01-06T00:00:00.000Z",43.95,,,122,"PM2.5"
"USA","Pennsylvania","McKeesport","Liberty (SAHS)","2016-01-07T00:00:00.000Z",33.57,,,96,"PM2.5"
"USA","Pennsylvania","McKeesport","Liberty (SAHS)","2016-01-09T00:00:00.000Z",16.9,,,61,"PM2.5"
