"Country","State","City","Station name","Timestamp(UTC)","PM2.5","PM10","US AQI","Main pollutant"
"USA","Pennsylvania","Millvale","Manchester","2021-08-10T00:00:00.000Z",12.04,20.98,50,"PM2.5"
"USA","Pennsylvania","Millvale","Manchester","2021-08-11T00:00:00.000Z",10.52,19.88,43,"PM2.5"
"USA","Pennsylvania","Millvale","Manchester","2021-08-12T00:00:00.000Z",12.67,24.44,52,"PM2.5"
"USA","Pennsylvania","Millvale","Manchester","2021-08-13T00:00:00.000Z",9.3,18.52,38,"PM2.5"
"USA","Pennsylvania","Millvale","Manchester","2021-08-14T00:00:00.000Z",8.01,16,33,"PM2.5"
"USA","Pennsylvania","Millvale","Manchester","2021-08-15T00:00:00.000Z",7.64,16.05,32,"PM2.5"
"USA","Pennsylvania","Millvale","Manchester","2021-08-16T00:00:00.000Z",7.91,17.9,33,"PM2.5"
"USA","Pennsylvania","Millvale","Manchester","2021-08-17T00:00:00.000Z",5.16,,21,"PM2.5"
"USA","Pennsylvania","Millvale","Manchester","2021-08-18T00:00:00.000Z",4.46,,18,"PM2.5"
"USA","Pennsylvania","Millvale","Manchester","2021-08-19T00:00:00.000Z",8.25,,34,"PM2.5"
"USA","Pennsylvania","Millvale","Manchester","2021-08-20T00:00:00.000Z",10.89,,45,"PM2.5"
"USA","Pennsylvania","Millvale","Manchester","2021-08-21T00:00:00.000Z",15.13,,57,"PM2.5"
"USA","Pennsylvania","Millvale","Manchester","2021-08-22T00:00:00.000Z",18.52,,64,"PM2.5"
"USA","Pennsylvania","Millvale","Manchester","2021-08-23T00:00:00.000Z",16.17,,60,"PM2.5"
"USA","Pennsylvania","Millvale","Manchester","2021-08-24T00:00:00.000Z",14.58,,56,"PM2.5"
"USA","Pennsylvania","Millvale","Manchester","2021-08-25T00:00:00.000Z",14.08,,55,"PM2.5"
"USA","Pennsylvania","Millvale","Manchester","2021-08-26T00:00:00.000Z",12.63,,52,"PM2.5"
"USA","Pennsylvania","Millvale","Manchester","2021-08-27T00:00:00.000Z",13.28,,53,"PM2.5"
