"Country","State","City","Station name","Timestamp(UTC)","PM2.5","PM10","CO","SO2","US AQI","Main pollutant"
"USA","Pennsylvania","Braddock","North Braddock","2021-08-10T00:00:00.000Z",,46.67,,2.62,42,"PM10"
"USA","Pennsylvania","Braddock","North Braddock","2021-08-11T00:00:00.000Z",,38.33,,2.62,35,"PM10"
"USA","Pennsylvania","Braddock","North Braddock","2021-08-12T00:00:00.000Z",,39.13,,2.62,36,"PM10"
"USA","Pennsylvania","Braddock","North Braddock","2021-08-13T00:00:00.000Z",,29.5,,2.62,27,"PM10"
"USA","Pennsylvania","Braddock","North Braddock","2021-08-14T00:00:00.000Z",,23,,,21,"PM10"
"USA","Pennsylvania","Braddock","North Braddock","2021-08-15T00:00:00.000Z",,11.75,,2.62,11,"PM10"
"USA","Pennsylvania","Braddock","North Braddock","2021-08-16T00:00:00.000Z",,20.25,,2.62,18,"PM10"
"USA","Pennsylvania","Braddock","North Braddock","2021-08-17T00:00:00.000Z",13.9,26.75,,1.82,55,"PM2.5"
"USA","Pennsylvania","Braddock","North Braddock","2021-08-18T00:00:00.000Z",7.07,9.71,,0.44,29,"PM2.5"
"USA","Pennsylvania","Braddock","North Braddock","2021-08-19T00:00:00.000Z",11.64,22.67,,0,48,"PM2.5"
"USA","Pennsylvania","Braddock","North Braddock","2021-08-20T00:00:00.000Z",15.07,30.11,,0,57,"PM2.5"
"USA","Pennsylvania","Braddock","North Braddock","2021-08-21T00:00:00.000Z",17.33,35.08,,3.67,62,"PM2.5"
"USA","Pennsylvania","Braddock","North Braddock","2021-08-22T00:00:00.000Z",24,45.17,,3.57,76,"PM2.5"
"USA","Pennsylvania","Braddock","North Braddock","2021-08-23T00:00:00.000Z",17.38,34.62,,0.57,62,"PM2.5"
"USA","Pennsylvania","Braddock","North Braddock","2021-08-24T00:00:00.000Z",19.15,41.55,,2.28,66,"PM2.5"
"USA","Pennsylvania","Braddock","North Braddock","2021-08-25T00:00:00.000Z",20,42.94,,4.37,68,"PM2.5"
