"Country","State","City","Station name","Timestamp(UTC)","PM2.5","CO","NO2","US AQI","Main pollutant"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-02-28T00:00:00.000Z",10.83,,,45,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-01T00:00:00.000Z",6.96,,,29,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-02T00:00:00.000Z",4.63,,,19,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-03T00:00:00.000Z",3.58,,,15,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-04T00:00:00.000Z",5.79,,,24,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-05T00:00:00.000Z",5.08,,,21,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-06T00:00:00.000Z",7.29,,,30,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-07T00:00:00.000Z",10.63,,,44,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-08T00:00:00.000Z",4.25,,,18,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-09T00:00:00.000Z",6.67,,,28,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-10T00:00:00.000Z",14.5,,,56,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-11T00:00:00.000Z",6.3,,,26,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-12T00:00:00.000Z",7.83,,,32,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-13T00:00:00.000Z",8.17,,,34,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-14T00:00:00.000Z",6.46,,,27,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-15T00:00:00.000Z",8.54,,,35,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-16T00:00:00.000Z",7.42,,,31,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-17T00:00:00.000Z",10.13,,,42,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-18T00:00:00.000Z",9.43,,,39,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-19T00:00:00.000Z",9.42,,,39,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-20T00:00:00.000Z",7.63,,,32,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-21T00:00:00.000Z",6,,,25,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-22T00:00:00.000Z",6.04,,,25,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-23T00:00:00.000Z",7.63,,,32,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-24T00:00:00.000Z",7.58,,,31,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-25T00:00:00.000Z",4.58,,,19,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-26T00:00:00.000Z",5.67,,,23,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-27T00:00:00.000Z",6.96,,,29,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-28T00:00:00.000Z",10.04,,,41,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-29T00:00:00.000Z",7.14,,,30,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-30T00:00:00.000Z",6.76,,,28,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-03-31T00:00:00.000Z",14.13,,,55,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-04-01T00:00:00.000Z",5.29,,,22,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-04-02T00:00:00.000Z",6.17,,,25,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-04-03T00:00:00.000Z",13.75,,,54,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-04-04T00:00:00.000Z",5.46,,,23,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-04-05T00:00:00.000Z",6.75,,,28,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-04-06T00:00:00.000Z",6,,,25,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-04-07T00:00:00.000Z",5.83,,,24,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Parkway East (Near Road)","2018-04-08T00:00:00.000Z",7.71,,,32,"PM2.5"
