"Country","State","City","Timestamp(UTC)","PM2.5","PM10","Ozone","CO","NO2","SO2","US AQI","Main pollutant"
"USA","Pennsylvania","Pittsburgh","2015-12-19T00:00:00.000Z",7.81,,56,,,,32,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2015-12-20T00:00:00.000Z",9.04,,35.33,,,,37,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2015-12-21T00:00:00.000Z",9.38,,36.25,,,,39,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2015-12-22T00:00:00.000Z",5.13,,54.75,,,,22,"Ozone"
"USA","Pennsylvania","Pittsburgh","2015-12-23T00:00:00.000Z",10,,12.04,,,,41,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2015-12-24T00:00:00.000Z",4.75,,50.04,,,,20,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2015-12-25T00:00:00.000Z",10.65,,7.7,,,,44,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2015-12-26T00:00:00.000Z",6.67,,50.42,,,,28,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2015-12-27T00:00:00.000Z",5.75,,32.63,,,,24,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2015-12-28T00:00:00.000Z",6.08,,49.33,,,,25,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2015-12-29T00:00:00.000Z",6.13,,36.87,,,,25,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2015-12-30T00:00:00.000Z",8.39,,24.96,,,,35,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2015-12-31T00:00:00.000Z",11.25,,42.17,,,,46,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-01T00:00:00.000Z",7.38,,64.33,,,,30,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-02T00:00:00.000Z",11.54,,51.92,,,,48,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-03T00:00:00.000Z",10.83,,46.21,,,,45,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-04T00:00:00.000Z",6.48,,62.91,,,,27,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-05T00:00:00.000Z",10.88,,35.88,,,,45,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-06T00:00:00.000Z",20.75,,7.95,,,,69,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-07T00:00:00.000Z",20.14,,-0.14,,,,68,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-09T00:00:00.000Z",14.86,,17.33,,,,57,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-10T00:00:00.000Z",5.17,,44.87,,,,21,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-11T00:00:00.000Z",8.05,,56.05,,,,33,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-12T00:00:00.000Z",9.38,,49.17,,,,39,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-13T00:00:00.000Z",15.52,,50.7,,,,58,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-14T00:00:00.000Z",10.83,,47.48,,,,45,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-15T00:00:00.000Z",15.94,,11.19,,,,59,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-16T00:00:00.000Z",10.63,,44.88,,,,44,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-17T00:00:00.000Z",8.14,,59.05,,,,34,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-18T00:00:00.000Z",10.08,,54,,,,42,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-19T00:00:00.000Z",10.38,,48.79,,,,43,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-20T00:00:00.000Z",16.96,,22.78,,,,61,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-21T00:00:00.000Z",20.04,,27.22,,,,68,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-22T00:00:00.000Z",18.58,,29.29,,,,65,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-23T00:00:00.000Z",5.17,,72.46,,,,29,"Ozone"
"USA","Pennsylvania","Pittsburgh","2016-01-24T00:00:00.000Z",8.36,,57.82,,,,35,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-25T00:00:00.000Z",18.88,,28.08,,,,65,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-26T00:00:00.000Z",9.21,,52.58,,,,38,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-27T00:00:00.000Z",9.38,,44.85,,,,39,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-28T00:00:00.000Z",10.54,,37.83,,,,44,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-29T00:00:00.000Z",8.73,,50.82,,,,36,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-30T00:00:00.000Z",10.08,,36.88,,,,42,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-01-31T00:00:00.000Z",10.06,,69.29,,,,42,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-02-01T00:00:00.000Z",11.67,,63.21,,,,48,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-02-02T00:00:00.000Z",9.17,,40.67,,,,38,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-02-03T00:00:00.000Z",8.68,,54.47,,,,36,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-02-04T00:00:00.000Z",6.18,,57.55,,,,26,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-02-05T00:00:00.000Z",8.09,,56.64,,,,33,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-02-06T00:00:00.000Z",12.71,,41.63,,,,52,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-02-07T00:00:00.000Z",15.63,,38.5,,,,58,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-02-08T00:00:00.000Z",17.33,,30.29,,,,62,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-02-09T00:00:00.000Z",12.06,,37.76,,,,50,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-02-10T00:00:00.000Z",12.29,,41.19,,,,51,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-02-11T00:00:00.000Z",8.46,,66.42,,,,35,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-02-12T00:00:00.000Z",12.61,,37.96,,,,52,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-02-13T00:00:00.000Z",7.58,,72.75,,,,31,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-02-14T00:00:00.000Z",11.63,,52.08,,,,48,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-02-15T00:00:00.000Z",12.7,,48.22,,,,52,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-02-16T00:00:00.000Z",9.92,,46.54,,,,41,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-02-17T00:00:00.000Z",15.15,,48.25,,,,57,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-02-18T00:00:00.000Z",8.63,,62.17,,,,36,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-02-19T00:00:00.000Z",9.45,,47.95,,,,39,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-02-20T00:00:00.000Z",7.05,,82.21,,,,33,"Ozone"
"USA","Pennsylvania","Pittsburgh","2016-02-21T00:00:00.000Z",6.5,,89.5,,,,36,"Ozone"
"USA","Pennsylvania","Pittsburgh","2016-02-22T00:00:00.000Z",8.22,,55.56,,,,34,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-02-23T00:00:00.000Z",9.91,,49.65,,,,41,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-02-24T00:00:00.000Z",2.5,,54.22,,,,22,"Ozone"
"USA","Pennsylvania","Pittsburgh","2016-02-25T00:00:00.000Z",4.57,,57.83,,,,23,"Ozone"
"USA","Pennsylvania","Pittsburgh","2016-02-26T00:00:00.000Z",5.3,,79.64,,,,32,"Ozone"
"USA","Pennsylvania","Pittsburgh","2016-02-27T00:00:00.000Z",7.46,,62,,,,31,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-02-28T00:00:00.000Z",9.46,,75.46,,,,39,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-02-29T00:00:00.000Z",7.43,,82.04,,,,33,"Ozone"
"USA","Pennsylvania","Pittsburgh","2016-03-01T00:00:00.000Z",7.38,,51.9,,,,30,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-03-03T00:00:00.000Z",7.64,,61.27,,,,32,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-03-04T00:00:00.000Z",12,,53.17,,,,50,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-03-05T00:00:00.000Z",11.46,,66,,,,47,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-03-06T00:00:00.000Z",16,,53.63,,,,59,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-03-07T00:00:00.000Z",14.92,,40.33,,,,57,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-03-08T00:00:00.000Z",12.26,,61.87,,,,51,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-03-09T00:00:00.000Z",19.9,,42.62,,,,67,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-03-10T00:00:00.000Z",15.22,,54.74,,,,58,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-03-11T00:00:00.000Z",5.73,,56.2,,,,24,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-03-12T00:00:00.000Z",9.17,,36.22,,,,38,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-03-13T00:00:00.000Z",15.86,,44.86,,,,59,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-03-14T00:00:00.000Z",5.71,,47.67,,,,24,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-03-15T00:00:00.000Z",6.09,,46.13,,,,25,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-03-16T00:00:00.000Z",9.33,,37.67,,,,39,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-03-17T00:00:00.000Z",4.41,,81,,,,32,"Ozone"
"USA","Pennsylvania","Pittsburgh","2016-03-18T00:00:00.000Z",5.5,,59.68,,,,24,"Ozone"
"USA","Pennsylvania","Pittsburgh","2016-03-19T00:00:00.000Z",7,,56.13,,,,29,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-03-20T00:00:00.000Z",6,,72.13,,,,29,"Ozone"
"USA","Pennsylvania","Pittsburgh","2016-03-21T00:00:00.000Z",8.83,,68.17,,,,36,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-03-22T00:00:00.000Z",10.55,,42.32,,,,44,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-03-23T00:00:00.000Z",11.23,,89.77,,,,46,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-03-24T00:00:00.000Z",16.08,,66.79,,,,59,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-03-25T00:00:00.000Z",9.48,,72.3,,,,39,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-03-26T00:00:00.000Z",7.54,,75.08,,,,31,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-03-27T00:00:00.000Z",16.42,,46.5,,,,60,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-03-28T00:00:00.000Z",8.04,,69.75,,,,33,"PM2.5"
"USA","Pennsylvania","Pittsburgh","2016-03-29T00:00:00.000Z",6.86,,75.45,,,,30,"Ozone"
